team1,team1_url,team1_logo,term
Локомотив,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99217/result/,https://img.championat.com/team/logo/14672244642043297304.png,hokkey>khl
Йокерит,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99205/result/,https://img.championat.com/team/logo/15355410171468225624.png,hokkey>khl
Нефтехимик,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99231/result/,https://img.championat.com/team/logo/1503388331836876809.png,hokkey>khl
Торпедо,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99233/result/,https://img.championat.com/team/logo/1535540944589599962.png,hokkey>khl
ХК Сочи,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99221/result/,https://img.championat.com/team/logo/1487342569311825485.png,hokkey>khl
СКА,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99209/result/,https://img.championat.com/team/logo/14873435512073686720.png,hokkey>khl
Динамо Р,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99203/result/,https://img.championat.com/team/logo/14672241891538669472.png,hokkey>khl
Слован,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99219/result/,https://img.championat.com/team/logo/1467225035580501170.png,hokkey>khl
Авангард,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99237/result/,https://img.championat.com/team/logo/15359727361725323564.png,hokkey>khl
Витязь,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99213/result/,https://img.championat.com/team/logo/1467225236955756436.png,hokkey>khl
Динамо Мн,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99215/result/,https://img.championat.com/team/logo/1487342233748694728.png,hokkey>khl
Сибирь,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99249/result/,https://img.championat.com/team/logo/15355414511422027013.png,hokkey>khl
ЦСКА,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99223/result/,https://img.championat.com/team/logo/1521881177909853135.png,hokkey>khl
Амур,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99241/result/,https://img.championat.com/team/logo/1467223681945135178.png,hokkey>khl
Барыс,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99243/result/,https://img.championat.com/team/logo/14672239071957831754.png,hokkey>khl
Салават Юлаев,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99247/result/,https://img.championat.com/team/logo/1535540727881560395.png,hokkey>khl
Куньлунь Ред Стар,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99245/result/,https://img.championat.com/team/logo/14696437741567687640.png,hokkey>khl
Адмирал,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99239/result/,https://img.championat.com/team/logo/1535541144252658935.png,hokkey>khl
СКА-Хабаровск,https://www.championat.com/football/_russia1d/tournament/2611/teams/99757/result/,https://img.championat.com/team/logo/146954335968887808.png,soccer>fnl
Луч,https://www.championat.com/football/_russia1d/tournament/2611/teams/99747/result/,https://img.championat.com/team/logo/15319880541415258788.png,soccer>fnl
Томь,https://www.championat.com/football/_russia1d/tournament/2611/teams/99763/result/,https://img.championat.com/team/logo/1469196752144827012.png,soccer>fnl
Тюмень,https://www.championat.com/football/_russia1d/tournament/2611/teams/99765/result/,https://img.championat.com/team/logo/1469524632212593086.png,soccer>fnl
Зенит-2,https://www.championat.com/football/_russia1d/tournament/2611/teams/99745/result/,https://img.championat.com/team/logo/14695242361455694129.png,soccer>fnl
Мордовия,https://www.championat.com/football/_russia1d/tournament/2611/teams/99749/result/,https://img.championat.com/team/logo/1469543347112504937.png,soccer>fnl
Авангард К,https://www.championat.com/football/_russia1d/tournament/2611/teams/99735/result/,https://img.championat.com/team/logo/14692804782006672360.png,soccer>fnl
Сочи,https://www.championat.com/football/_russia1d/tournament/2611/teams/99743/result/,https://img.championat.com/team/logo/1531215018203072749.png,soccer>fnl
Краснодар-2,https://www.championat.com/football/_russia1d/tournament/2611/teams/103503/result/,https://img.championat.com/team/logo/14695274591768680742.png,soccer>fnl
Чертаново,https://www.championat.com/football/_russia1d/tournament/2611/teams/99771/result/,https://img.championat.com/team/logo/1469526739231467627.png,soccer>fnl
Сибирь,https://www.championat.com/football/_russia1d/tournament/2611/teams/99755/result/,https://img.championat.com/team/logo/1469524339815276117.png,soccer>fnl
Химки,https://www.championat.com/football/_russia1d/tournament/2611/teams/99769/result/,https://img.championat.com/team/logo/1469524664145066757.png,soccer>fnl
Факел,https://www.championat.com/football/_russia1d/tournament/2611/teams/99767/result/,https://img.championat.com/team/logo/14996986301887129146.png,soccer>fnl
Нижний Новгород,https://www.championat.com/football/_russia1d/tournament/2611/teams/99751/result/,https://img.championat.com/team/logo/1531481481507005825.png,soccer>fnl
Балтика,https://www.championat.com/football/_russia1d/tournament/2611/teams/99741/result/,https://img.championat.com/team/logo/1531211061801464840.png,soccer>fnl
Армавир,https://www.championat.com/football/_russia1d/tournament/2611/teams/99739/result/,https://img.championat.com/team/logo/1468575299488898682.png,soccer>fnl
Ротор,https://www.championat.com/football/_russia1d/tournament/2611/teams/99753/result/,https://img.championat.com/team/logo/15312149722066119385.png,soccer>fnl
Спартак-2,https://www.championat.com/football/_russia1d/tournament/2611/teams/99759/result/,https://img.championat.com/team/logo/1469524572568235310.png,soccer>fnl
Шинник,https://www.championat.com/football/_russia1d/tournament/2611/teams/99773/result/,https://img.championat.com/team/logo/146952467715336185.png,soccer>fnl
Тамбов,https://www.championat.com/football/_russia1d/tournament/2611/teams/99761/result/,https://img.championat.com/team/logo/1469524612130454067.png,soccer>fnl
Бавария,https://www.championat.com/football/_germany/tournament/2621/teams/102937/result/,https://img.championat.com/team/logo/1467889888998542949.png,soccer>bundesliga
Герта,https://www.championat.com/football/_germany/tournament/2621/teams/102955/result/,https://img.championat.com/team/logo/14678904021130589364.png,soccer>bundesliga
Вердер,https://www.championat.com/football/_germany/tournament/2621/teams/102935/result/,https://img.championat.com/team/logo/1467890220645725227.png,soccer>bundesliga
Фрайбург,https://www.championat.com/football/_germany/tournament/2621/teams/102949/result/,https://img.championat.com/team/logo/14694597521718827303.png,soccer>bundesliga
Вольфсбург,https://www.championat.com/football/_germany/tournament/2621/teams/102947/result/,https://img.championat.com/team/logo/14678902631686668474.png,soccer>bundesliga
Фортуна,https://www.championat.com/football/_germany/tournament/2621/teams/102967/result/,https://img.championat.com/team/logo/1569349968232626015.png,soccer>bundesliga
Боруссия М,https://www.championat.com/football/_germany/tournament/2621/teams/102951/result/,https://img.championat.com/team/logo/14678901531776477662.png,soccer>bundesliga
Майнц,https://www.championat.com/football/_germany/tournament/2621/teams/102959/result/,https://img.championat.com/team/logo/14678909411939770371.png,soccer>bundesliga
Боруссия Д,https://www.championat.com/football/_germany/tournament/2621/teams/102943/result/,https://img.championat.com/team/logo/14678900551116847616.png,soccer>bundesliga
Ганновер-96,https://www.championat.com/football/_germany/tournament/2621/teams/102953/result/,https://img.championat.com/team/logo/14678912941809349198.png,soccer>bundesliga
Хоффенхайм,https://www.championat.com/football/_germany/tournament/2621/teams/102965/result/,https://img.championat.com/team/logo/14678910512086615403.png,soccer>bundesliga
Байер,https://www.championat.com/football/_germany/tournament/2621/teams/102941/result/,https://img.championat.com/team/logo/1467889991440586524.png,soccer>bundesliga
Айнтрахт Ф,https://www.championat.com/football/_germany/tournament/2621/teams/102961/result/,https://img.championat.com/team/logo/146788965642085132.png,soccer>bundesliga
Аугсбург,https://www.championat.com/football/_germany/tournament/2621/teams/102963/result/,https://img.championat.com/team/logo/14678898211424076603.png,soccer>bundesliga
Нюрнберг,https://www.championat.com/football/_germany/tournament/2621/teams/102957/result/,https://img.championat.com/team/logo/13763193251302363817_fcn.jpg,soccer>bundesliga
Штутгарт,https://www.championat.com/football/_germany/tournament/2621/teams/102939/result/,https://img.championat.com/team/logo/14678912232024075171.png,soccer>bundesliga
РБ Лейпциг,https://www.championat.com/football/_germany/tournament/2621/teams/102969/result/,https://img.championat.com/team/logo/14711313731822384223.png,soccer>bundesliga
Шальке-04,https://www.championat.com/football/_germany/tournament/2621/teams/102945/result/,https://img.championat.com/team/logo/14678911581910296694.png,soccer>bundesliga
Манчестер Юнайтед,https://www.championat.com/football/_england/tournament/2613/teams/100939/result/,https://img.championat.com/team/logo/14658325251734697001.png,soccer>apl
Ньюкасл Юнайтед,https://www.championat.com/football/_england/tournament/2613/teams/100943/result/,https://img.championat.com/team/logo/14658319671198636026.png,soccer>apl
Борнмут,https://www.championat.com/football/_england/tournament/2613/teams/100971/result/,https://img.championat.com/team/logo/1552494382773535695.png,soccer>apl
Фулхэм,https://www.championat.com/football/_england/tournament/2613/teams/100945/result/,https://img.championat.com/team/logo/1552494403343266701.png,soccer>apl
Хаддерсфилд Таун,https://www.championat.com/football/_england/tournament/2613/teams/100973/result/,https://img.championat.com/team/logo/14694878991416399961.png,soccer>apl
Уотфорд,https://www.championat.com/football/_england/tournament/2613/teams/100965/result/,https://img.championat.com/team/logo/14658315211076255213.png,soccer>apl
Вулверхэмптон,https://www.championat.com/football/_england/tournament/2613/teams/100957/result/,https://img.championat.com/team/logo/1552494421733611411.png,soccer>apl
Ливерпуль,https://www.championat.com/football/_england/tournament/2613/teams/100941/result/,https://img.championat.com/team/logo/14658326181147966153.png,soccer>apl
Саутгемптон,https://www.championat.com/football/_england/tournament/2613/teams/100947/result/,https://img.championat.com/team/logo/15524943211108666290.png,soccer>apl
Арсенал,https://www.championat.com/football/_england/tournament/2613/teams/100935/result/,https://img.championat.com/team/logo/1465832935255919291.png,soccer>apl
Кардифф Сити,https://www.championat.com/football/_england/tournament/2613/teams/100963/result/,https://img.championat.com/team/logo/15046397731405800250.png,soccer>apl
